account,points,anomalies
25.0 - BLD 05_8143000,100,3
25.0 - BLD 06_8143014,100,4
25.0 - BLD 07_8143011,100,4
25.0 - BLD 08_8143010,100,9
25.0 - BLD 09_7929883,100,10
25.0 - BLD 10_8143002,100,1
25.0 - BLD 11_8143005,87,8
25.0 - BLD 12_8301080,50,2
25.0 - BLD 13_8143009,100,1
25.0 - BLD 14_8301079,50,4
252.0 - BLD 01_7972522,103,0
252.0 - BLD 02_7834070,103,3
252.0 - BLD 03_7692890,103,2
256.0 - BLD 01_8301116,103,0
26.0 - BLD 01_8142853,76,2
26.0 - BLD 02_8142869,76,3
26.0 - BLD 03_8142872,76,5
26.0 - BLD 04_8142865,76,3
26.0 - BLD 05_8142861,76,2
26.0 - BLD 06_8142858,76,2
26.0 - BLD 07_8142894,76,5
26.0 - BLD 08_8142889,76,5
26.0 - BLD 09_8142859,76,5
26.0 - BLD 10_8142857,76,4
26.0 - BLD 12_8142863,64,8
26.0 - BLD 13_8142856,76,1
26.0 - BLD 15_8142878,76,2
26.0 - BLD 16_8142870,76,7
26.0 - BLD 17_8142866,76,3
26.0 - BLD 18_8142882,76,5
26.0 - BLD 19_8142881,76,2
26.0 - BLD 20_8142880,76,3
26.0 - BLD 21_8142867,76,3
26.0 - BLD 22_8142860,76,1
26.0 - BLD 23_8142871,76,5
261.0 - BLD 01_8072739,80,1
261.0 - BLD 02_7545070,102,0
261.0 - BLD 03_7754299,102,3
261.0 - BLD 04_7754297,102,2
261.0 - BLD 05_5536038,102,1
262.0 - BLD 01_7695093,103,0
262.0 - BLD 02 - Community Center_7574678,103,0
262.0 - BLD 02_7574659,103,0
263.0 - BLD 01_8300405,100,2
263.0 - BLD 02_7231407,72,1
263.0 - BLD 03_5933730,103,0
263.0 - BLD 04_7260357,103,0
263.0 - BLD 05_7572901,103,1
263.0 - BLD 06_7231580,103,0
263.0 - BLD 07_5705021,102,2
263.0 - BLD 08_5707103,103,3
264.0 - BLD 01_6025786,103,0
265.0 - BLD 01_7031117,103,0
266.0 - BLD 01_7834060,103,7
267.0 - BLD 01_8322189,103,6
267.0 - BLD 02_7252800,103,0
267.0 - BLD 03_7837188,103,0
267.0 - BLD 03_8661312,103,0
268.0 - BLD 01_6211908,102,13
268.0 - BLD 01_6443251,102,9
27.0 - BLD 01_8362679,63,5
27.0 - BLD 02_8322389,63,4
27.0 - BLD 03_8322406,63,4
27.0 - BLD 04_8322397,63,4
27.0 - BLD 05_8322386,63,3
27.0 - BLD 06_8322391,63,4
27.0 - BLD 07_8322405,63,5
27.0 - BLD 08_8322404,63,2
27.0 - BLD 09_8322387,63,2
27.0 - BLD 10_7930198,63,3
27.0 - BLD 11_8322093,63,3
27.0 - BLD 12_8322396,63,4
271.0 - BLD 10_5536935,61,2
271.0 - BLD 11_8232049,103,6
276.0 - BLD 01_7703521,103,0
276.0 - BLD 02_3197994,92,0
276.0 - BLD 03_8300510,57,1
276.0 - BLD 04_7209938,103,0
277.0 - BLD 01_7693534,103,0
278.0 - BLD 23_6540608,79,4
278.0 - BLD 24_8123249,79,3
278.0 - BLD 25_2580529,79,5
278.0 - BLD 26_2180293,56,5
278.0 - BLD 26_6312226,79,3
278.0 - BLD 27_7297008,79,4
278.0 - BLD 28_6438677,79,5
278.0 - BLD 28_6626444,79,3
278.0 - BLD 29_5772930,79,2
278.0 - BLD 30_2770823,79,5
278.0 - BLD 31_2763430,79,4
278.0 - BLD 32_7890501,79,3
278.0 - BLD 33_5483261,67,4
278.0 - BLD 34_4905626,79,3
278.0 - BLD 35_7833799,79,9
278.0 - BLD 36_2640874,69,2
279.0 - BLD 01_3552903,101,1
279.0 - BLD 01_3703376,101,0
279.0 - BLD 01_7929572,102,4
28.0 - BLD 01_8125780,83,5
28.0 - BLD 02_7930001,83,6
28.0 - BLD 03_7930003,83,4
28.0 - BLD 04_8096607,83,6
